"rules","support","confidence","coverage","lift","count"
"68","{Sixth.Sense,LOTR2,Green.Mile} => {LOTR1}",0.1,1,0.1,5,1
"69","{Harry.Potter1,LOTR2,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"70","{Sixth.Sense,Harry.Potter1,LOTR2} => {Green.Mile}",0.1,1,0.1,5,1
"71","{Sixth.Sense,Harry.Potter1,Green.Mile} => {LOTR2}",0.1,1,0.1,5,1
"72","{Sixth.Sense,LOTR2,Green.Mile} => {Harry.Potter1}",0.1,1,0.1,5,1
"73","{LOTR1,Harry.Potter1,LOTR2,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"74","{Sixth.Sense,LOTR1,Harry.Potter1,LOTR2} => {Green.Mile}",0.1,1,0.1,5,1
"75","{Sixth.Sense,LOTR1,Harry.Potter1,Green.Mile} => {LOTR2}",0.1,1,0.1,5,1
"76","{Sixth.Sense,LOTR1,LOTR2,Green.Mile} => {Harry.Potter1}",0.1,1,0.1,5,1
"77","{Sixth.Sense,Harry.Potter1,LOTR2,Green.Mile} => {LOTR1}",0.1,1,0.1,5,1
